#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,E1_score,E2_score,E3_score,E4_score,E5_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
G0.4.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,97,60,37
G0.4.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,98,60,38
G0_iv.5.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,99,60,39
G0_iii.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,100,60,40
G0_iv.3.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,101,60,41
G0_iii.3.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,102,60,42
G0.2.2,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,103,60,43
G0.6.3,Yes,Template drift,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,104,60,44
G0_iv.5.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,105,60,45
G0_iii.10.1,Yes,Template drift,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,106,60,46
G0_iv.10.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,"0,68",,,,1.0,"0,85","0,855","0,84","0,68",0.85,1.0,0.855,0.84,0.68,57,True,False,107,60,47
L1.10.2,Yes,Template drift,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.8,1.0,0.8,0.8,0.8,58,True,False,108,60,48
GS.7.7,No,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.8,1.0,0.8,0.8,0.8,58,False,True,109,61,48
GS.7.8,No,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.8,1.0,0.8,0.8,0.8,58,False,True,110,62,48
L1.1.3,Yes,Scope misalignment,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.8,1.0,0.8,0.8,0.8,58,True,False,111,62,49
M1.10.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.75,1.0,0.75,0.75,0.75,59,True,False,112,62,50
Q1.3.6,Yes,Scope misalignment,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.75,1.0,0.75,0.75,0.75,59,True,False,113,62,51
GS.3.8,No,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.75,1.0,0.75,0.75,0.75,59,False,True,114,63,51
Q1.10.3,Yes,Template drift,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,"0,75",,,,,,,,,,,,,,,1.0,"0,75","0,750","0,75","0,75",0.75,1.0,0.75,0.75,0.75,59,True,False,115,63,52
