#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.3.2,No,,H.3.2,X,X,P,P,P,,,,,,X,X,,,,,,,,,,X,P,,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,85","0,60",,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,84","0,60",,,"0,78","0,78","0,78","0,78","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,68","0,60",,,9.0,"7,28","4,616","7,27","6,65",0.999999324283368,7.28,9.0,4.616,7.27,6.65,0.999999324283368,11,False,True,21,21,0
GS.10.5,No,,,,X,X,X,,X,,,,,X,,,,,,,,X,X,X,X,,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78",,"0,89",,,,,"0,75",,,,,,,,"0,68","0,68","0,68","0,68",,,,9.0,"7,72","5,727","7,67","6,67",0.9999987804951769,7.72,9.0,5.727,7.67,6.67,0.9999987804951769,12,False,True,22,22,0
L0.3.3; L0_ii.3.2; L1.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; Q1.3.7; Q2.3.1; M0_ii.3.1; M0_iii.3.1,Yes,Scope misalignment,,X,X,,,X,,,X,X,X,X,X,,X,X,,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,76","0,76","0,76","0,75","0,72",,"0,66","0,66",,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,74","0,74","0,74","0,75","0,72",,"0,65","0,65",,,,,,,,,,,"0,78","0,78",,,"0,80",,,"0,49","0,49","0,49","0,75","0,72",,"0,49","0,49",,,,,,,,,,,10.0,"7,64","3,616","7,58","6,28",0.9999952438927784,7.64,10.0,3.616,7.58,6.28,0.9999952438927784,13,True,False,23,22,1
GS.5.3,No,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,,,,,,,,,,,,,,,,,,,6.0,"5,24","2,580","5,24","4,80",0.9999360019287525,5.24,6.0,2.58,5.24,4.8,0.9999360019287525,14,False,True,24,23,1
GS.3.4,No,,H.3.4,,X,,,,,X,X,X,P,,,,,,,,,X,X,,P,,,,,"0,89",,,,,"0,76","0,76","0,76","0,76",,,,,,,,,"0,85","0,85",,"0,85",,,,,"0,89",,,,,"0,74","0,74","0,74","0,74",,,,,,,,,"0,84","0,84",,"0,84",,,,,"0,78",,,,,"0,49","0,49","0,49","0,49",,,,,,,,,"0,68","0,68",,"0,68",,,,8.0,"6,49","3,545","6,38","4,77",0.999763974556637,6.49,8.0,3.545,6.38,4.77,0.999763974556637,15,False,True,25,24,1
GS.3.6,No,,,,,,,X,,X,,,,X,X,,,,,X,,,,X,,X,X,,,,,,"0,80",,"0,76",,,,"0,75","0,72",,,,,"0,75",,,,"0,85",,"0,60","0,74",,,,,,"0,80",,"0,74",,,,"0,75","0,72",,,,,"0,75",,,,"0,84",,"0,60","0,74",,,,,,"0,80",,"0,49",,,,"0,75","0,72",,,,,"0,75",,,,"0,68",,"0,60","0,74",,8.0,"5,97","5,405","5,94","5,53",0.9996189934042823,5.97,8.0,5.405,5.94,5.53,0.9996189934042823,16,False,True,26,25,1
GS.4.8,No,,H.4.8,P,,,,,,P,P,P,P,,,,,,,,X,P,P,,,,,,"0,89",,,,,,"0,76","0,76","0,76","0,76",,,,,,,,"0,61","0,85","0,85",,,,,,"0,89",,,,,,"0,74","0,74","0,74","0,74",,,,,,,,"0,61","0,84","0,84",,,,,,"0,78",,,,,,"0,49","0,49","0,49","0,49",,,,,,,,"0,61","0,68","0,68",,,,,,8.0,"6,24","3,296","6,14","4,70",0.9995086836009361,6.24,8.0,3.296,6.14,4.7,0.9995086836009361,17,False,True,27,26,1
GS.9.2,No,,H.9.2,X,X,X,X,,,X,,,,,,P,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,"0,76",,,,,,"0,66",,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,"0,74",,,,,,"0,65",,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,"0,49",,,,,,"0,49",,,,,,,,,,,,,6.0,"4,96","1,241","4,94","4,09",0.9990698087526797,4.96,6.0,1.241,4.94,4.09,0.9990698087526797,18,False,True,28,27,1
GS.3.5,No,,H.3.5,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80",,,,,,,,,,,,,,,,,,,,,5.0,"4,35","1,687","4,35","3,90",0.9989349073560926,4.35,5.0,1.687,4.35,3.9,0.9989349073560926,19,False,True,29,28,1
GS.6.2,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",0.9825474360735368,3.55,4.0,0.887,3.55,3.1,0.9825474360735368,20,False,True,30,29,1
