#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Optimal numeric
M2.2.2;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
M2.2.4;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
M2.2.5;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;;;;;;;;;;;;;;;;;;0,61;;;;;;;;1;0,61;0,606;0,61;0,61;0,026309
G0.2.2;Yes;Template drift;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;;;1;0,85;0,855;0,84;0,68;0,041663
G0_iii.2.3;Yes;Architectural infeasibility;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;0,84;;;;;;;;;;;;;;;;;;;;;;;;;0,68;;;;;1;0,85;0,855;0,84;0,68;0,040916
GS.3.1;No;;H.3.1;P;P;P;P;P;P;P;X;X;P;P;P;P;;P;P;P;P;X;X;X;X;X;X;;0,89;0,89;0,89;0,89;0,80;0,89;0,76;0,76;0,76;0,76;0,75;0,72;0,66;;0,66;0,66;0,75;0,61;0,85;0,85;0,85;0,85;0,60;0,74;;0,89;0,89;0,89;0,89;0,80;0,89;0,74;0,74;0,74;0,74;0,75;0,72;0,65;;0,65;0,65;0,75;0,61;0,84;0,84;0,84;0,84;0,60;0,74;;0,78;0,78;0,78;0,78;0,80;0,89;0,49;0,49;0,49;0,49;0,75;0,72;0,49;;0,49;0,49;0,75;0,61;0,68;0,68;0,68;0,68;0,60;0,74;;23;17,84;11,418;17,70;15,10;0,988789
GS.3.2;No;;H.3.2;X;X;P;P;P;;;;;;X;X;;;;;;;;;;X;P;;;0,89;0,89;0,89;0,89;0,80;;;;;;0,75;0,72;;;;;;;;;;0,85;0,60;;;0,89;0,89;0,89;0,89;0,80;;;;;;0,75;0,72;;;;;;;;;;0,84;0,60;;;0,78;0,78;0,78;0,78;0,80;;;;;;0,75;0,72;;;;;;;;;;0,68;0,60;;;9;7,28;4,616;7,27;6,65;0,446698
GS.3.3;No;;H.3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;0,000;0,00;0,00;0,000000
GS.3.4;No;;H.3.4;;X;;;;;X;X;X;P;;;;;;;;;X;X;;P;;;;;0,89;;;;;0,76;0,76;0,76;0,76;;;;;;;;;0,85;0,85;;0,85;;;;;0,89;;;;;0,74;0,74;0,74;0,74;;;;;;;;;0,84;0,84;;0,84;;;;;0,78;;;;;0,49;0,49;0,49;0,49;;;;;;;;;0,68;0,68;;0,68;;;;8;6,49;3,545;6,38;4,77;0,358995
GS.3.5;No;;H.3.5;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;;;;;;;;;;;;;;;0,89;0,89;0,89;0,89;0,80;;;;;;;;;;;;;;;;;;;;;0,78;0,78;0,78;0,78;0,80;;;;;;;;;;;;;;;;;;;;;5;4,35;1,687;4,35;3,90;0,321474
