#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Prec. Micro AveP
"L1.3.4; Q1.3.9; Q2.3.5";Yes;Template drift;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;0,80;;;;;;0,75;0,72;;;;;;;;;;;;;;;;;;0,80;;;;;;0,75;0,72;;;;;;;;;;;;;;;;;;0,80;;;;;;0,75;0,72;;;;;;;;;;;;;;;;;;0,57;;;;;;0,52;0,58;;;;;;;;;;;;;;3;2,27;2,274;2,27;2,27;1,67
Q0.3.2;Yes;Contextual misfit;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0.3.7;Yes;Contextual misfit;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0.3.8;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0.3.9;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_ii.3.3;Yes;Contextual misfit;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_iii.3.4;Yes;Template drift;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_iii.3.5;Yes;Contextual misfit;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q0_iii.3.6;Yes;Architectural infeasibility;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;;;;;;;0,65;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,65
Q1.3.6;Yes;Scope misalignment;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,52;;;;;;;;;;;;;;;1;0,75;0,750;0,75;0,75;0,52
